name,locare,location,price,time,tag,type
神鹿峰旅游度假区,双阳区,双阳区双阳山河街道旅游路18888号,98,08:00-17:00/Mon-Sun,家庭亲子/服务热情/环境很好,度假村
长影旧址博物馆,朝阳区,朝阳区红旗街1118号（原长影电影制片厂）,76,09:30-17:00/Mon-Sun,家庭亲子/服务热情/环境很好,博物馆
伪满皇宫博物院,宽城区,宽城区光复北路5号,68,08:30-17:20/5.1-10.7/08:30~16:50/10.8-4.30,人气旺/家庭亲子/地方赞,博物馆
长春中泰海洋世界,朝阳区,朝阳区清华路1399号（吉大口腔医院对面）,175,09:30-17:00/Mon-Sun,人气旺/水干净/项目多,博物馆
FUTURE ZOO未来动物城,二道区,二道区卫星路1777号摩天活力城4楼,122,09:30-17:00/Mon-Sun,家庭亲子/服务热情/价格高,博物馆
长春恋爱博物馆,朝阳区,朝阳区延安大街99号欧亚新生活负一层,99,09:00-17:00/Mon-Sun,情侣约会/服务热情/环境好,博物馆
长春安哥拉巨兔体验馆,宽城区,宽城区人民大街155号宽城万达二楼（海底捞楼下）,5,08:30-17:00Mon-Sun,情侣约会,博物馆
吉林省博物馆,净月开发区,净月开发区（净月区）永顺路1666号,0,09:00-15:30/Mon-Sun,家庭亲子/地方赞,博物馆
长春世界雕塑公园,南关区,南关区人民大街9518号,43,09:00-17:30/Mon-Sun,家庭亲子/环境好/风景赞,博物馆
吉林省科技文化中心,净月开发区,净月开发区永顺路1666号,0,09:00-15:30/Wds-Sun,家庭亲子,文化中心
